"playerID","yearID","stint","teamID","lgID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP"
"aguaylu01",1980,1,"PHI","NL",20,47,7,13,1,2,1,8,1,1,2,3,0,0,0,1,0
"avilera01",1980,1,"PHI","NL",51,101,12,28,6,0,2,9,0,0,10,9,2,0,2,2,3
"boonebo01",1980,1,"PHI","NL",141,480,34,110,23,1,9,55,3,4,48,41,12,1,4,2,9
"bowala01",1980,1,"PHI","NL",147,540,57,144,16,4,2,39,21,6,24,28,7,3,7,3,9
"brusswa01",1980,1,"PHI","NL",26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"bystrma01",1980,1,"PHI","NL",6,14,1,1,0,0,0,1,0,0,1,9,0,0,0,0,0
"carltst01",1980,1,"PHI","NL",38,101,7,19,1,0,0,6,0,0,1,21,0,0,6,3,4
"chrisla01",1980,1,"PHI","NL",14,19,6,7,0,0,1,4,0,0,3,9,0,0,3,0,0
"davisma01",1980,1,"PHI","NL",2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"dernibo01",1980,1,"PHI","NL",10,7,5,4,0,0,0,1,3,0,1,0,0,0,0,0,0
"espinni01",1980,1,"PHI","NL",13,26,4,3,1,0,0,2,0,0,0,9,0,0,3,0,0
"grossgr01",1980,1,"PHI","NL",127,154,19,37,7,2,0,12,1,1,24,7,1,1,3,0,4
"isaleor01",1980,1,"PHI","NL",3,5,1,2,0,1,0,3,0,0,1,0,0,0,0,0,0
"lagrole01",1980,1,"PHI","NL",25,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"larsoda01",1980,1,"PHI","NL",12,13,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0
"lerchra01",1980,1,"PHI","NL",34,45,5,12,2,0,0,3,0,0,5,6,0,0,4,0,2
"lovigja01",1980,1,"PHI","NL",16,5,7,0,0,0,0,0,1,2,1,0,0,0,0,0,0
"luzingr01",1980,1,"PHI","NL",106,368,44,84,19,1,19,56,3,0,60,100,5,6,0,4,6
"lylesp01",1980,2,"PHI","NL",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maddoga01",1980,1,"PHI","NL",143,549,59,142,31,3,11,73,25,5,18,52,5,0,7,9,11
"mcbriba01",1980,1,"PHI","NL",137,554,68,171,33,10,9,87,13,10,26,58,4,5,2,6,17
"mccarti01",1980,1,"PHI","NL",6,5,2,1,1,0,0,2,0,0,1,0,0,0,1,0,1
"mccordo01",1980,1,"PHI","NL",2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mcgratu01",1980,1,"PHI","NL",57,8,0,2,0,0,0,1,0,0,0,2,0,0,3,0,0
"morelke01",1980,1,"PHI","NL",62,159,13,50,8,0,4,29,3,1,8,14,2,0,1,3,6
"munnisc01",1980,1,"PHI","NL",4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"nolesdi01",1980,1,"PHI","NL",48,13,1,4,0,0,0,2,0,0,0,5,0,0,2,0,0
"reedro01",1980,1,"PHI","NL",55,10,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0
"rosepe01",1980,1,"PHI","NL",162,655,95,185,42,1,1,64,12,8,66,33,5,6,4,4,13
"ruthvdi01",1980,1,"PHI","NL",33,68,7,16,5,1,0,8,1,1,2,22,0,0,12,0,1
"saucike01",1980,1,"PHI","NL",40,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"schmimi01",1980,1,"PHI","NL",150,548,104,157,25,8,48,121,12,5,89,119,10,2,0,13,6
"smithlo01",1980,1,"PHI","NL",100,298,69,101,14,4,3,20,33,13,26,48,2,4,1,2,5
"trillma01",1980,1,"PHI","NL",141,531,68,155,25,9,7,43,8,3,32,46,8,3,4,3,16
"unserde01",1980,1,"PHI","NL",96,110,15,29,6,4,0,10,0,1,10,21,1,0,1,2,2
"virgioz02",1980,1,"PHI","NL",1,5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"vukovge01",1980,1,"PHI","NL",78,58,6,13,1,1,0,8,0,0,6,9,0,0,0,0,1
"vukovjo01",1980,1,"PHI","NL",49,62,4,10,1,1,0,5,0,1,2,7,1,1,0,1,2
"walkbo01",1980,1,"PHI","NL",27,50,5,7,1,0,0,2,0,0,4,20,0,1,7,0,2
