"yearID","lgID","teamID","franchID","divID","Rank","G","Ghome","W","L","DivWin","WCWin","LgWin","WSWin","R","AB","H","X2B","X3B","HR","BB","SO","SB","CS","HBP","SF","RA","ER","ERA","CG","SHO","SV","IPouts","HA","HRA","BBA","SOA","E","DP","FP","name","park","attendance","BPF","PPF","teamIDBR","teamIDlahman45","teamIDretro"
1980,"NL","ATL","ATL","W",4,161,80,81,80,"N",NA,"N","N",630,5402,1352,226,22,144,434,899,73,52,NA,NA,660,598,3.77,29,9,37,4284,1397,131,454,696,162,156,0.975,"Atlanta Braves","Atlanta-Fulton County Stadium",1048411,103,103,"ATL","ATL","ATL"
1980,"AL","BAL","BAL","E",2,162,81,100,62,"N",NA,"N","N",805,5585,1523,258,29,156,587,766,111,38,NA,NA,640,590,3.64,42,10,41,4380,1438,134,507,789,95,178,0.985,"Baltimore Orioles","Memorial Stadium",1797438,99,98,"BAL","BAL","BAL"
1980,"AL","BOS","BOS","E",5,160,81,83,77,"N",NA,"N","N",757,5603,1588,297,36,162,475,720,79,48,NA,NA,767,701,4.38,30,8,43,4323,1557,129,481,696,149,206,0.977,"Boston Red Sox","Fenway Park II",1956092,106,105,"BOS","BOS","BOS"
1980,"AL","CAL","ANA","W",6,160,81,65,95,"N",NA,"N","N",698,5443,1442,236,32,106,539,889,91,63,NA,NA,797,717,4.52,22,6,30,4284,1548,141,529,725,134,144,0.977,"California Angels","Anaheim Stadium",2297327,97,97,"CAL","CAL","CAL"
1980,"AL","CHA","CHW","W",5,162,81,70,90,"N",NA,"N","N",587,5444,1408,255,38,91,399,670,68,54,NA,NA,722,625,3.92,32,12,42,4305,1434,108,563,724,171,162,0.973,"Chicago White Sox","Comiskey Park",1200365,100,100,"CHW","CHA","CHA"
1980,"NL","CHN","CHC","E",6,162,81,64,98,"N",NA,"N","N",614,5619,1411,251,35,107,471,912,93,64,NA,NA,728,639,3.89,13,6,35,4437,1525,109,589,923,174,149,0.974,"Chicago Cubs","Wrigley Field",1206776,107,109,"CHC","CHN","CHN"
1980,"NL","CIN","CIN","W",3,163,82,89,73,"N",NA,"N","N",707,5516,1445,256,45,113,537,852,156,43,NA,NA,670,624,3.85,30,12,37,4377,1404,113,506,833,106,144,0.983,"Cincinnati Reds","Riverfront Stadium",2022450,101,100,"CIN","CIN","CIN"
1980,"AL","CLE","CLE","E",6,160,79,79,81,"N",NA,"N","N",738,5470,1517,221,40,89,617,625,118,58,NA,NA,807,743,4.68,35,8,32,4284,1519,137,552,843,105,143,0.983,"Cleveland Indians","Cleveland Stadium",1033827,101,102,"CLE","CLE","CLE"
1980,"AL","DET","DET","E",4,163,82,84,78,"N",NA,"N","N",830,5648,1543,232,53,143,645,844,75,68,NA,NA,757,693,4.25,40,9,30,4401,1505,152,558,741,129,165,0.979,"Detroit Tigers","Tiger Stadium",1785293,102,102,"DET","DET","DET"
1980,"NL","HOU","HOU","W",1,163,81,93,70,"Y",NA,"N","N",637,5566,1455,231,67,75,540,755,194,74,NA,NA,589,510,3.1,31,18,41,4446,1367,69,466,929,140,145,0.978,"Houston Astros","Astrodome",2278217,92,91,"HOU","HOU","HOU"
